region,energy_type,material_sourcing,production_volume,product_type,transport_mode,distance_km,storage_type,shelf_days,carbon_footprint
rural,non-renewable,recycled,5414,perishable,air,1342,refrigerated,8,0.3768336
rural,renewable,local,1539,non-perishable,air,3267,ambient,58,4.547663999999999
coastal,non-renewable,imported,11722,perishable,sea,450,refrigerated,8,0.117936
rural,renewable,local,3561,non-perishable,road,2350,ambient,84,3.1584
coastal,renewable,local,669,non-perishable,road,2157,ambient,141,4.866192
urban,renewable,local,4121,non-perishable,air,4997,refrigerated,21,3.2740344000000006
coastal,non-renewable,imported,6621,perishable,sea,1603,ambient,61,2.4641316
rural,renewable,recycled,4874,perishable,air,3099,refrigerated,6,0.4350996
urban,renewable,imported,3360,non-perishable,air,3791,ambient,174,23.746824
coastal,renewable,recycled,4247,perishable,sea,319,refrigerated,25,0.087087
urban,renewable,recycled,2467,non-perishable,road,2886,ambient,174,6.025968
urban,non-renewable,imported,7300,perishable,sea,2814,refrigerated,10,0.9218663999999999
rural,renewable,local,2047,non-perishable,air,3489,ambient,142,11.890512
coastal,renewable,recycled,506,perishable,sea,3666,refrigerated,27,1.08088344
rural,renewable,local,2091,perishable,air,2655,refrigerated,14,1.159704
rural,renewable,local,2816,non-perishable,road,2468,ambient,82,3.238016
rural,non-renewable,imported,14381,non-perishable,road,1300,ambient,32,1.4976
coastal,renewable,recycled,1866,perishable,air,3667,ambient,69,4.554413999999999
rural,renewable,recycled,4256,perishable,sea,2926,refrigerated,19,0.60708648
coastal,renewable,local,1946,perishable,sea,3016,refrigerated,14,0.6147814400000001
urban,renewable,recycled,715,non-perishable,road,2348,ambient,46,1.296096
coastal,renewable,imported,3142,perishable,sea,681,refrigerated,9,0.13385735999999998
rural,non-renewable,imported,8777,perishable,sea,3943,refrigerated,19,2.4542809199999995
urban,renewable,local,1770,non-perishable,road,1381,ambient,177,3.9109920000000002
rural,renewable,recycled,980,non-perishable,road,352,ambient,113,0.4773119999999999
urban,non-renewable,imported,8211,non-perishable,sea,350,ambient,45,0.3968999999999999
rural,renewable,recycled,3308,perishable,air,4259,refrigerated,16,1.5945696
coastal,renewable,local,3147,non-perishable,sea,180,ambient,76,0.153216
coastal,renewable,local,4408,non-perishable,road,1767,ambient,140,3.95808
rural,non-renewable,imported,12364,non-perishable,sea,1461,ambient,127,4.6757843999999995
rural,renewable,local,3427,perishable,sea,1827,refrigerated,28,0.7448313600000002
rural,renewable,local,1918,perishable,air,3856,ambient,108,9.994752000000002
coastal,renewable,local,2009,perishable,air,1511,ambient,121,4.387944
urban,renewable,local,2031,non-perishable,road,699,ambient,40,0.44736000000000004
coastal,renewable,recycled,1491,perishable,sea,2937,refrigerated,15,0.48108059999999997
coastal,renewable,local,4240,perishable,air,1653,refrigerated,20,1.0314720000000002
rural,renewable,local,1383,non-perishable,air,3563,refrigerated,24,2.6679744000000003
coastal,renewable,local,4542,non-perishable,road,464,ambient,159,1.1804160000000001
urban,non-renewable,local,10778,non-perishable,road,2515,refrigerated,19,1.4908920000000003
rural,renewable,recycled,1963,perishable,air,412,ambient,124,0.919584
urban,non-renewable,local,12854,perishable,sea,1036,refrigerated,18,0.40727232
coastal,renewable,local,1655,perishable,air,3167,ambient,94,7.1447519999999995
coastal,renewable,recycled,2060,perishable,sea,1584,refrigerated,19,0.32864832
coastal,renewable,local,2665,non-perishable,road,300,ambient,108,0.5184
rural,non-renewable,imported,6107,non-perishable,road,2438,refrigerated,23,2.6242632
urban,non-renewable,imported,5649,perishable,air,3394,refrigerated,26,6.1947288
urban,non-renewable,recycled,11460,perishable,air,1762,refrigerated,14,0.8658468
urban,renewable,recycled,612,perishable,sea,775,refrigerated,16,0.135408
